"","lens1","lens2","val","geography","unit","description","indicator"
"3301","Not Applicable","Upper Caste","599963.185345604","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3302","Salaried - Permanent","Intermediate Caste","156674.124287615","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3303","Salaried - Permanent","Not Stated","60268.6954420022","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3304","Salaried - Permanent","OBC","288595.595682117","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3305","Salaried - Permanent","SC","137044.627915229","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3306","Salaried - Permanent","ST","22083.8945857121","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3307","Salaried - Permanent","Upper Caste","245572.406033143","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3308","Salaried - Temporary, not on digital platform","Intermediate Caste","603030.346007667","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3309","Salaried - Temporary, not on digital platform","Not Stated","108263.799227056","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3310","Salaried - Temporary, not on digital platform","OBC","1116128.75723795","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3311","Salaried - Temporary, not on digital platform","SC","1182134.18121863","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3312","Salaried - Temporary, not on digital platform","ST","306230.450694467","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3313","Salaried - Temporary, not on digital platform","Upper Caste","349073.127958261","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3314","Self-employed not on digital platform","Intermediate Caste","1619123.74381913","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3315","Self-employed not on digital platform","Not Stated","206199.968697562","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3316","Self-employed not on digital platform","OBC","3022906.88352646","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3317","Self-employed not on digital platform","SC","1407690.01688103","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3318","Self-employed not on digital platform","ST","400459.024147992","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3319","Self-employed not on digital platform","Upper Caste","1664993.20423429","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and caste category","emp_arr_pop_of_Maharashtra_tgstuhm_CasteCategory"
"3320","Daily Wage worker/ Casual labour","F","138177.323596584","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3321","Daily Wage worker/ Casual labour","M","4112881.76671005","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3322","Digital platform based salaried temporary","M","37422.9072011938","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3323","Digital platform based self employed","F","9966.54410686244","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3324","Digital platform based self employed","M","80049.6442131016","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3325","Not Applicable","F","2785.24157505405","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3326","Not Applicable","M","7591.63077925855","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3327","Salaried - Permanent","F","99035.7672823591","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3328","Salaried - Permanent","M","780567.471617782","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3329","Salaried - Temporary, not on digital platform","F","872057.575583527","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3330","Salaried - Temporary, not on digital platform","M","2771396.56874116","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3331","Self-employed not on digital platform","F","462685.329991661","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3332","Self-employed not on digital platform","M","3759398.93685281","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and Gender type","emp_arr_pop_of_Maharashtra_tg_gender"
"3333","Daily Wage worker/ Casual labour","F","138177.323596584","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3334","Daily Wage worker/ Casual labour","M","4116457.81140217","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3335","Digital platform based salaried temporary","M","37422.9072011938","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3336","Digital platform based self employed","F","12615.2673953449","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3337","Digital platform based self employed","M","102160.441568319","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3338","Not Applicable","F","1375024.93842159","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3339","Not Applicable","M","2203171.81732852","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3340","Salaried - Permanent","F","100781.121057778","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3341","Salaried - Permanent","M","809458.222888039","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3342","Salaried - Temporary, not on digital platform","F","872057.575583527","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3343","Salaried - Temporary, not on digital platform","M","2792803.0867605","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3344","Self-employed not on digital platform","F","811975.530016019","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3345","Self-employed not on digital platform","M","7509397.31129044","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers,and Gender type","emp_arr_pop_of_Maharashtra_tgstuhm_gender"
"3346","Daily Wage worker/ Casual labour",NA,"4254635.13499876","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3347","Digital platform based salaried temporary",NA,"37422.9072011938","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3348","Digital platform based self employed",NA,"114775.708963664","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3349","Not Applicable",NA,"3578196.75575012","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3350","Salaried - Permanent",NA,"910239.343945817","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3351","Salaried - Temporary, not on digital platform",NA,"3664860.66234403","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3352","Self-employed not on digital platform",NA,"8321372.84130646","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers","emp_arr_pop_of_Maharashtra_tgstuhm"
"3353","Daily Wage worker/ Casual labour","RURAL","2269013.60118086","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3354","Daily Wage worker/ Casual labour","URBAN","1982045.48912578","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3355","Digital platform based salaried temporary","RURAL","3954.8583329516","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3356","Digital platform based salaried temporary","URBAN","33468.0488682422","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3357","Digital platform based self employed","RURAL","3480.91994907623","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3358","Digital platform based self employed","URBAN","86535.2683708878","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3359","Not Applicable","RURAL","0","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3360","Not Applicable","URBAN","10376.8723543126","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3361","Salaried - Permanent","RURAL","199222.725320558","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3362","Salaried - Permanent","URBAN","680380.513579582","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3363","Salaried - Temporary, not on digital platform","RURAL","1369563.0453167","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3364","Salaried - Temporary, not on digital platform","URBAN","2273891.09900798","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3365","Self-employed not on digital platform","RURAL","1263449.06233885","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3366","Self-employed not on digital platform","URBAN","2958635.20450562","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and regions","emp_arr_pop_of_Maharashtra_tg_region"
"3367","Daily Wage worker/ Casual labour","RURAL","2269013.60118086","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3368","Daily Wage worker/ Casual labour","URBAN","1985621.53381789","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3369","Digital platform based salaried temporary","RURAL","3954.8583329516","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3370","Digital platform based salaried temporary","URBAN","33468.0488682422","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3371","Digital platform based self employed","RURAL","11390.6366149794","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3372","Digital platform based self employed","URBAN","103385.072348684","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3373","Not Applicable","RURAL","1322740.54479977","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3374","Not Applicable","URBAN","2255456.21095035","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3375","Salaried - Permanent","RURAL","202703.645269634","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3376","Salaried - Permanent","URBAN","707535.698676183","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3377","Salaried - Temporary, not on digital platform","RURAL","1378618.75739899","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3378","Salaried - Temporary, not on digital platform","URBAN","2286241.90494504","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3379","Self-employed not on digital platform","RURAL","2767134.93267881","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3380","Self-employed not on digital platform","URBAN","5554237.90862765","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group with students and home makers, and regions","emp_arr_pop_of_Maharashtra_tgstuhm_region"
"3381","Daily Wage worker/ Casual labour","Buddhist","415014.474183674","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3382","Daily Wage worker/ Casual labour","Christian","455.085502988864","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3383","Daily Wage worker/ Casual labour","Hindu","3250888.25593114","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3384","Daily Wage worker/ Casual labour","Muslim","584701.274688831","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3385","Digital platform based salaried temporary","Buddhist","5061.08718617237","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3386","Digital platform based salaried temporary","Hindu","23562.1690529123","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3387","Digital platform based salaried temporary","Muslim","8799.65096210916","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3388","Digital platform based self employed","Buddhist","16944.9429930461","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3389","Digital platform based self employed","Hindu","65804.6508410317","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3390","Digital platform based self employed","Muslim","7266.59448588625","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3391","Not Applicable","Buddhist","2530.54359308618","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3392","Not Applicable","Hindu","7846.32876122642","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3393","Not Applicable","Muslim","0","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3394","Salaried - Permanent","Buddhist","63281.1456544533","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3395","Salaried - Permanent","Christian","4854.84046461268","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3396","Salaried - Permanent","Hindu","722542.130939714","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3397","Salaried - Permanent","Jain","15051.2500689548","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3398","Salaried - Permanent","Muslim","73873.8717724055","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3399","Salaried - Temporary, not on digital platform","Buddhist","471748.292482493","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3400","Salaried - Temporary, not on digital platform","Christian","10840.1975307992","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3401","Salaried - Temporary, not on digital platform","Hindu","2874472.8035509","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3402","Salaried - Temporary, not on digital platform","Jain","7098.55554807261","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3403","Salaried - Temporary, not on digital platform","Muslim","270264.037970856","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3404","Salaried - Temporary, not on digital platform","Sikh","9030.25724156345","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3405","Self-employed not on digital platform","Buddhist","197974.730960208","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3406","Self-employed not on digital platform","Christian","26261.415870806","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3407","Self-employed not on digital platform","Hindu","3305114.29888061","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3408","Self-employed not on digital platform","Jain","13233.2939372995","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3409","Self-employed not on digital platform","Muslim","678470.084061937","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3410","Self-employed not on digital platform","Sikh","1030.44313361151","Maharashtra","number of people","employment arrangement of  population of  Maharashtra in target group and religion","emp_arr_pop_of_Maharashtra_tg_religion"
"3411","Daily Wage worker/ Casual labour","Buddhist","415014.474183674","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3412","Daily Wage worker/ Casual labour","Christian","455.085502988864","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3413","Daily Wage worker/ Casual labour","Hindu","3253669.71633804","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3414","Daily Wage worker/ Casual labour","Muslim","585495.858974055","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3415","Digital platform based salaried temporary","Buddhist","5061.08718617237","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3416","Digital platform based salaried temporary","Hindu","23562.1690529123","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3417","Digital platform based salaried temporary","Muslim","8799.65096210916","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3418","Digital platform based self employed","Buddhist","19593.6662815285","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3419","Digital platform based self employed","Hindu","82267.1338652336","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3420","Digital platform based self employed","Muslim","12914.9088169016","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3421","Not Applicable","Buddhist","213102.851782783","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3422","Not Applicable","Christian","10991.411490347","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3423","Not Applicable","Hindu","3099288.75276393","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3424","Not Applicable","Jain","30063.0576737173","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3425","Not Applicable","Muslim","224384.220064966","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3426","Not Applicable","Sikh","366.461974377466","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3427","Salaried - Permanent","Buddhist","63281.1456544533","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3428","Salaried - Permanent","Christian","4854.84046461268","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3429","Salaried - Permanent","Hindu","751559.95583052","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3430","Salaried - Permanent","Jain","15051.2500689548","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3431","Salaried - Permanent","Muslim","75492.1519272764","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3432","Salaried - Temporary, not on digital platform","Buddhist","471748.292482493","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3433","Salaried - Temporary, not on digital platform","Christian","10840.1975307992","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3434","Salaried - Temporary, not on digital platform","Hindu","2895879.32157024","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3435","Salaried - Temporary, not on digital platform","Jain","7098.55554807261","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3436","Salaried - Temporary, not on digital platform","Muslim","270264.037970856","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3437","Salaried - Temporary, not on digital platform","Sikh","9030.25724156345","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3438","Self-employed not on digital platform","Buddhist","403871.303104918","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3439","Self-employed not on digital platform","Christian","34428.036611167","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3440","Self-employed not on digital platform","Hindu","6657847.10549386","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3441","Self-employed not on digital platform","Jain","86683.6400796291","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3442","Self-employed not on digital platform","Muslim","1137512.31288327","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3443","Self-employed not on digital platform","Sikh","1030.44313361151","Maharashtra","number of people","employment arrangement of population of  Maharashtra in target group with students and home makers,and religion","emp_arr_pop_of_Maharashtra_tgstuhm_religion"
"3444",NA,NA,"4036189.09503655","Meghalaya","number of people","Total population of  Meghalaya","total_pop_of_Meghalaya"
"3445","Intermediate Caste",NA,"9629.65941858568","Meghalaya","number of people","Total population of  Meghalaya in caste category","total_pop_of_Meghalaya_CasteCategory"
"3446","Not Applicable",NA,"25811.1713540709","Meghalaya","number of people","Total population of  Meghalaya in caste category","total_pop_of_Meghalaya_CasteCategory"
"3447","Not Stated",NA,"4377.11791753894","Meghalaya","number of people","Total population of  Meghalaya in caste category","total_pop_of_Meghalaya_CasteCategory"
"3448","OBC",NA,"65063.9368011397","Meghalaya","number of people","Total population of  Meghalaya in caste category","total_pop_of_Meghalaya_CasteCategory"
